iter	Passed	Remaining
0	1	149
1	2	140
2	4	140
3	5	127
4	6	125
5	8	125
6	9	123
7	10	120
8	11	119
9	13	119
10	14	117
11	15	115
12	17	114
13	18	112
14	19	110
15	21	111
16	23	112
17	24	112
18	25	110
19	27	108
20	28	106
21	29	105
22	31	104
23	32	102
24	33	100
25	34	99
26	36	97
27	37	95
28	38	94
29	40	94
30	41	93
31	43	92
32	45	91
33	46	89
34	47	88
35	49	88
36	51	87
37	52	86
38	54	84
39	55	83
40	56	81
41	57	78
42	58	77
43	59	76
44	60	74
45	62	72
46	63	71
47	64	69
48	65	68
49	67	67
50	68	65
51	69	64
52	71	63
53	72	61
54	73	59
55	74	58
56	76	57
57	77	56
58	79	55
59	80	53
60	82	52
61	83	51
62	85	50
63	87	49
64	89	48
65	91	47
66	94	46
67	95	45
68	97	43
69	98	42
70	100	41
71	101	39
72	102	38
73	104	36
74	105	35
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	112	26
81	113	24
82	114	23
83	115	22
84	116	20
85	118	19
86	119	17
87	120	16
88	121	15
89	123	13
90	124	12
91	125	10
92	126	9
93	127	8
94	128	6
95	129	5
96	131	4
97	132	2
98	133	1
99	134	0
