iter	Passed	Remaining
0	1223	1222552
1	1225	611492
2	1228	408235
3	1230	306328
4	1231	245124
5	1233	204311
6	1234	175163
7	1237	153503
8	1239	136486
9	1242	122962
10	1244	111848
11	1245	102541
12	1246	94675
13	1248	87937
14	1249	82080
15	1251	76952
16	1252	72429
17	1253	68405
18	1257	64910
19	1258	61672
20	1259	58735
21	1261	56062
22	1262	53624
23	1263	51385
24	1264	49332
25	1266	47437
26	1267	45685
27	1268	44051
28	1271	42583
29	1273	41169
30	1274	39844
31	1275	38597
32	1277	37428
33	1278	36324
34	1279	35283
35	1281	34302
36	1282	33378
37	1283	32502
38	1286	31708
39	1288	30913
40	1289	30159
41	1290	29441
42	1292	28760
43	1293	28104
44	1294	27478
45	1295	26876
46	1297	26305
47	1298	25757
48	1301	25266
49	1303	24762
50	1304	24277
51	1306	23809
52	1307	23358
53	1308	22926
54	1310	22509
55	1311	22106
56	1312	21719
57	1315	21367
58	1316	21003
59	1318	20653
60	1319	20311
61	1320	19979
62	1321	19661
63	1323	19350
64	1324	19048
65	1325	18757
66	1327	18489
67	1329	18222
68	1331	17964
69	1333	17710
70	1334	17460
71	1336	17220
72	1337	16982
73	1338	16750
74	1339	16524
75	1341	16305
76	1342	16090
77	1343	15880
78	1346	15700
79	1348	15502
80	1349	15307
81	1350	15116
82	1350	14925
83	1352	14743
84	1353	14566
85	1354	14396
86	1355	14228
87	1356	14062
88	1358	13901
89	1360	13760
90	1362	13609
91	1363	13460
92	1364	13312
93	1366	13168
94	1367	13030
95	1369	12891
96	1370	12754
97	1371	12621
98	1372	12490
99	1373	12363
100	1376	12249
101	1377	12127
102	1378	12006
103	1379	11888
104	1381	11776
105	1382	11663
106	1384	11550
107	1385	11440
108	1386	11332
109	1387	11225
110	1389	11129
111	1391	11030
112	1392	10930
113	1393	10831
114	1394	10734
115	1396	10639
116	1396	10542
117	1398	10450
118	1399	10360
119	1400	10272
120	1402	10184
121	1403	10097
122	1405	10023
123	1407	9940
124	1408	9859
125	1410	9784
126	1411	9702
127	1412	9623
128	1413	9546
129	1415	9469
130	1416	9394
131	1417	9321
132	1420	9258
133	1421	9188
134	1423	9117
135	1424	9047
136	1425	8980
137	1427	8914
138	1428	8847
139	1429	8781
140	1430	8716
141	1431	8649
142	1432	8585
143	1435	8532
144	1436	8472
145	1438	8414
146	1439	8355
147	1441	8298
148	1442	8241
149	1444	8185
150	1445	8128
151	1446	8071
152	1448	8016
153	1451	7971
154	1452	7918
155	1453	7865
156	1455	7812
157	1456	7760
158	1457	7708
159	1458	7657
160	1459	7604
161	1460	7554
162	1461	7506
163	1463	7459
164	1466	7420
165	1467	7374
166	1468	7326
167	1470	7280
168	1471	7236
169	1472	7191
170	1474	7146
171	1475	7101
172	1476	7057
173	1477	7015
174	1479	6974
175	1480	6933
176	1482	6891
177	1483	6849
178	1484	6808
179	1485	6767
180	1486	6727
181	1488	6689
182	1489	6650
183	1491	6612
184	1492	6573
185	1493	6537
186	1495	6502
187	1497	6465
188	1498	6428
189	1499	6392
190	1500	6356
191	1501	6320
192	1503	6284
193	1504	6249
194	1505	6215
195	1506	6181
196	1509	6153
197	1510	6120
198	1512	6086
199	1513	6053
200	1514	6020
201	1515	5988
202	1517	5956
203	1518	5923
204	1519	5893
205	1521	5862
206	1522	5831
207	1525	5808
208	1526	5778
209	1528	5749
210	1529	5720
211	1531	5691
212	1532	5662
213	1534	5634
214	1535	5606
215	1536	5578
216	1538	5551
217	1540	5525
218	1541	5498
219	1543	5471
220	1544	5444
221	1545	5417
222	1547	5391
223	1548	5365
224	1550	5340
225	1551	5314
226	1554	5294
227	1556	5269
228	1557	5244
229	1559	5219
230	1560	5195
231	1562	5171
232	1563	5146
233	1565	5123
234	1566	5099
235	1569	5081
236	1571	5059
237	1573	5036
238	1574	5012
239	1575	4990
240	1577	4966
241	1578	4944
242	1579	4921
243	1580	4898
244	1582	4875
245	1584	4858
246	1586	4836
247	1587	4813
248	1588	4791
249	1590	4770
250	1591	4748
251	1592	4726
252	1593	4705
253	1594	4683
254	1596	4663
255	1597	4642
256	1600	4626
257	1601	4605
258	1602	4585
259	1603	4564
260	1605	4545
261	1606	4525
262	1607	4505
263	1609	4485
264	1610	4465
265	1611	4446
266	1612	4426
267	1615	4413
268	1617	4394
269	1618	4376
270	1619	4357
271	1620	4338
272	1622	4319
273	1623	4301
274	1624	4282
275	1625	4264
276	1627	4246
277	1628	4229
278	1631	4215
279	1633	4200
280	1634	4183
281	1636	4166
282	1637	4149
283	1638	4131
284	1639	4114
285	1641	4097
286	1642	4080
287	1645	4067
288	1646	4051
289	1647	4034
290	1649	4018
291	1650	4002
292	1651	3985
293	1653	3969
294	1654	3953
295	1655	3937
296	1656	3921
297	1658	3905
298	1661	3896
299	1663	3880
300	1664	3865
301	1665	3850
302	1667	3835
303	1669	3821
304	1670	3806
305	1672	3792
306	1673	3777
307	1677	3768
308	1678	3753
309	1679	3739
310	1681	3724
311	1682	3709
312	1683	3694
313	1684	3679
314	1685	3665
315	1686	3651
316	1688	3637
317	1691	3626
318	1692	3612
319	1693	3598
320	1694	3584
321	1696	3571
322	1697	3557
323	1698	3544
324	1699	3530
325	1700	3516
326	1702	3503
327	1703	3490
328	1706	3481
329	1708	3467
330	1709	3454
331	1710	3441
332	1711	3428
333	1712	3414
334	1713	3402
335	1714	3389
336	1716	3376
337	1717	3364
338	1720	3355
339	1723	3345
340	1725	3333
341	1727	3322
342	1728	3311
343	1729	3299
344	1731	3286
345	1732	3274
346	1733	3262
347	1736	3253
348	1737	3241
349	1738	3229
350	1739	3217
351	1741	3206
352	1742	3194
353	1743	3182
354	1744	3170
355	1746	3159
356	1747	3147
357	1748	3135
358	1751	3127
359	1752	3116
360	1754	3104
361	1755	3093
362	1756	3082
363	1757	3070
364	1758	3059
365	1760	3049
366	1761	3038
367	1762	3027
368	1764	3016
369	1766	3008
370	1768	2998
371	1769	2987
372	1770	2976
373	1772	2966
374	1773	2955
375	1774	2945
376	1775	2934
377	1776	2923
378	1778	2913
379	1779	2903
380	1782	2895
381	1783	2885
382	1784	2875
383	1786	2865
384	1787	2855
385	1789	2845
386	1790	2835
387	1791	2825
388	1792	2815
389	1793	2805
390	1796	2798
391	1798	2789
392	1799	2779
393	1800	2769
394	1801	2759
395	1803	2750
396	1804	2740
397	1805	2731
398	1806	2721
399	1808	2712
400	1809	2702
401	1812	2695
402	1813	2686
403	1815	2677
404	1816	2668
405	1817	2659
406	1818	2649
407	1819	2640
408	1820	2631
409	1822	2622
410	1823	2613
411	1824	2604
412	1827	2597
413	1829	2589
414	1830	2580
415	1832	2572
416	1833	2564
417	1835	2555
418	1836	2546
419	1837	2537
420	1838	2528
421	1839	2519
422	1842	2513
423	1843	2504
424	1845	2496
425	1846	2487
426	1847	2478
427	1848	2470
428	1849	2462
429	1851	2453
430	1852	2445
431	1853	2437
432	1854	2428
433	1857	2422
434	1858	2414
